name,x,y,z,yaw,size_x,size_y,camera_radius_max,camera_height_min,camera_height_max
BE_Stage_00,-5280.0,10.0,6.0,0.0,1000.0,500.0,450.0,50.0,250.0
BE_Stage_01,-3980.0,10.0,6.0,0.0,1000.0,500.0,430.0,50.0,250.0
BE_Stage_02,-2650.0,10.0,6.0,0.0,1000.0,500.0,450.0,50.0,250.0
BE_Stage_03,-1250.0,10.0,6.0,0.0,1000.0,500.0,400.0,50.0,250.0
BE_Stage_04,-90.0,10.0,6.0,0.0,1000.0,500.0,430.0,50.0,250.0
BE_Stage_05,1280.0,10.0,6.0,0.0,1000.0,500.0,450.0,50.0,250.0
BE_Stage_06,2450.0,10.0,6.0,0.0,1000.0,500.0,450.0,50.0,250.0
