name,x,y,z,yaw,size_x,size_y,camera_radius_max,camera_height_min,camera_height_max
BE_Stage_10,-4540.0,0.0,6.0,0.0,1000.0,500.0,500.0,50.0,250.0
BE_Stage_11,-3770.0,-60.0,6.0,0.0,1000.0,500.0,500.0,50.0,250.0
BE_Stage_12,-2580.0,0.0,6.0,0.0,1000.0,500.0,500.0,50.0,250.0
BE_Stage_13,-1070.0,-10.0,6.0,0.0,1000.0,500.0,500.0,50.0,250.0
BE_Stage_14,180.0,50.0,6.0,0.0,1000.0,500.0,500.0,50.0,250.0
BE_Stage_15,1600.0,0.0,6.0,0.0,1000.0,500.0,500.0,50.0,250.0
BE_Stage_16,2540.0,10.0,6.0,0.0,1000.0,500.0,500.0,50.0,250.0
BE_Stage_17,-3450.0,1750.0,-575.0,0.0,500.0,400.0,500.0,50.0,250.0
BE_Stage_18,-2040.0,1750.0,-575.0,0.0,500.0,400.0,500.0,50.0,250.0
