name,x,y,z,yaw,size_x,size_y,camera_radius_max,camera_height_min,camera_height_max
BE_Stage_00,-760.0,-300.0,2.0,0.0,1000.0,800.0,600.0,50.0,250.0
BE_Stage_01,-3300.0,-300.0,2.0,0.0,1000.0,800.0,600.0,50.0,250.0
BE_Stage_02,-5340.0,-380.0,2.0,0.0,1000.0,1000.0,600.0,50.0,250.0
BE_Stage_03,1850.0,-300.0,2.0,0.0,1000.0,800.0,650.0,50.0,250.0
BE_Stage_04,4120.0,-300.0,2.0,0.0,1000.0,800.0,650.0,50.0,250.0
BE_Stage_05,9490.0,-300.0,2.0,0.0,1000.0,800.0,650.0,50.0,250.0
BE_Stage_06,-3150.0,2360.0,2.0,0.0,600.0,600.0,600.0,50.0,250.0
