name,x,y,z,yaw,size_x,size_y,camera_radius_max,camera_height_min,camera_height_max
BE_Stage_00,-1160.0,-1360.0,2.0,0.0,800.0,700.0,600.0,100.0,250.0
BE_Stage_01,-130.0,-1360.0,2.0,0.0,400.0,400.0,375.0,50.0,250.0
BE_Stage_02,540.0,-980.0,2.0,0.0,400.0,400.0,300.0,50.0,250.0
BE_Stage_03,1850.0,-1360.0,2.0,0.0,700.0,700.0,650.0,50.0,250.0
BE_Stage_04,700.0,-70.0,2.0,0.0,400.0,400.0,450.0,50.0,250.0
BE_Stage_05,310.0,1210.0,2.0,0.0,600.0,600.0,600.0,50.0,250.0
BE_Stage_06,-820.0,1210.0,2.0,0.0,300.0,300.0,250.0,110.0,250.0
BE_Stage_07,1550.0,1210.0,2.0,0.0,300.0,300.0,350.0,110.0,250.0
BE_Stage_08,310.0,-1360.0,2.0,0.0,800.0,800.0,650.0,110.0,250.0
